year,fear,ideology,insurgent,qaeda,reign,terror,terrorism,terrorization,violence
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1982.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
1982.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
1982.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1982.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1982.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
1982.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
